id,text,fine_label,macro_label
4186,"Nothing but problems after a month. Luckily I could take it back and get a credit for the kindle to put towards an ipad. It started off working fine then after a month it started losing internet connection randomly (while the old ipad had no problems). Then it stopped charging, never got past 1%. Tried different outlets, different android chargers. Nothing. Worthless",battery_charging,device_hardware
4447,"Bought this mostly as a backup.and to read a few books, since I have a larger cell phone and a back up. Used it occasionally may 40 or 50 hours of use till this week when I sent my laptop in for repairs. so I probably used it a tot this week. I was watching my 3rd Primetime video this week and it simply turned off. It will not turn on using any power trick such as safe mode. It is gone, It is toast. Bought it October 11, 2016 , It quit on February 9, 2015. My old Fire lasted 4 or 5 years with more use. it had stereo speakers, lasted a week on a charge not 2 or 3 days.Sturdier built. This is full of junk, I am not just offered more apps, it is constantly trying to add them. JUNK JUNK JUNK",hardware_failure,device_hardware
4908,horrible...just like the other 7 i have owned ONLY due to warranties,support_warranty,commercial_service
4941,Not able to play youtube that's what my daughter likes.,software_performance,software_ecosystem
4947,I had to return this product as it was not compatible with things such as Facebook and Itunes... which is what I needed it for. Great if you are into books and streaming movies!,compatibility,software_ecosystem
4955,"I went with this tablet based on many good customer reviews, but my experience was not a good one. From the start I was on the phone every day for at least an hour with Amazon tech support for one issue or another. Most of the techs were very polite, but not all knew the product very well. At one point I asked one of them about trying to save some RAM and they kept referring me to the storage, which told me they didn't even know the difference between RAM and regular storage. The internet browser was basic and it ran very slow at times, even when all my other wifi devices ran great. Then a day would pass and I'd be trying to type an email and the keyboard would just stop working...wtf??? Come to find out it's a ""known issue"" and ""they're working on it"". After two weeks of one thing after another I got fed up and just returned it. I wanted it to work, and gave it a good run, but just not quality stuff. To me it was like Walmart trying to build their own computer when they're obviously not a computer manufacturer, neither is Amazon. If I were you I'd look at a regular Android tablet from a reputable PC manufacturer, which is exactly what I did next. I got an ASUS tablet for only a few dollars more, and it's unbelievable. 1000% better in comparison to the Amazon Fire HD8. Save yourself the aggravation and go with ASUS or some other company that is specifically in the computer business full time. Sorry Amazon, not this time!",price_value,commercial_service
5266,It takes forever to download apps. I'm returning it will be getting something else.,software_performance,software_ecosystem
5305,I bought this because I have ebooks in college. Not only could I not get my ebook. I called the school IT department. They could not either. My semester was already started. The sales representative at the store told me this is what I needed. I ended up buying a tablet from my phone carrier and my ebooks were right there in less than 5 minutes with the schools IT department help.,compatibility,software_ecosystem
5307,"i Bought this around black friday for $60 hoping it would be awesome... it failed so hard i tried multiple different micro SD cards none of which were recognized and YES i formated them with every format i could think of ... Fat32, NTFS, Fat, Xfat... i even tried to have the tablet do it... didnt work... to make matters worse half the apps i wanted to use werent in the app store and i came to find out that it isnt linked to the normal google play store this tablet has its own app store which is missing many common apps... the main reason i bought this was to play clash of clans and i cant because it wasnt on the app store... i tried to also use aftermarket play stores to play COC but it didnt work... launched and played 1 time but didnt work or update after that... needless to say i returned it and bought a $250 samsung galaxy tab A 10.1 (2016 version) with S-pen and its WAYYYYY better... bottom line you get what you pay for... also hint the s-pen version has an extra 1 GB of ram over the non pen version... so you should get that if you can afford the extra $50...",compatibility,software_ecosystem
5393,"I purchase this tablet for my son and it was very disappointing on the 3 exchanges I had to do. First the charger was not working, second the free time was not connecting and third exchange it was freezing. So many good reviews for this tablet but it did not work for me.",hardware_failure,device_hardware
5640,This is not an upgrade by any means! My three year old kindle outperformed Oasis.Battery life better than a week with the lights on lowest setting Magnetic connector is poorly designed and grows weak Two pieces to keep up with; unsnaps constantly Amazon Customer Services promises it will resolved in an update,hardware_failure,device_hardware
5879,I I thought the buy For my child bc the kids mode but it was very poor,usability_setup,usability
6576,"I do not like this Tablet one bit. It has to be registered with Amazon for it to function and it failed every time. I finally had to resort to calling Amazon's customer service, also not an easy task, to get it registered. There seems to be glitch in the programming, because when it failed again, I had to follow the same steps all over again to get it registered. I would highly recommend skipping this tablet and getting one that is not tied to any one company's operations, programming, or software.",usability_setup,usability
6640,"Too proprietary, the apps my daughter liked I could not install on it for her so basically it was worthless for me and I returned it.",compatibility,software_ecosystem
6800,"The last 2 models of Kindle HDX 8 have been terrible. We have purchased 2 of each model of Kindle and up until the last 2 models, they have been great. Last years had to be replaced 7 or 8 times and for the same problem. The slot for the SD card is defective. I gave up and bought the newest model. It shuts completely down if you try to plug it in to external speakers and sometimes it shuts down for no reason. It's going back after the first of the year. This is going to be my last year for Kindles unless they make them the same quality as before. Phooey!",hardware_failure,device_hardware
6854,I brought this tablet during the Black Friday sale fast forward to Christmas when my 6 year opens it he was happy I set it up for him two days later it crashed never came back on. Blank screen. He was disappointed and so was I .,hardware_failure,device_hardware
6891,Worst product ever. Constantly screwing up and filled with ads you have to pay to remove. Best Buy refused to help when I wanted to return it,usability_setup,usability
6998,"I don't recommend buying this. After 1 month of buying this, it won't charge or turn on.",battery_charging,device_hardware
7152,"Over the past few years, I have purchased Kindle Fires for various family members. The workmanship for those Kindles in abysmal. Two weeks ago, my Kindle Fire HDX shorted itself out. I replaced it with Amazon Fire 10.1. This device does NOT hold a charge for more than three and a half hours. You read that correctly!. I have been using it on a daily basis, each time it needs to be charged, it does a repeat performance. There is absolutely NO way that I will ever purchase any device manufactured by Amazon, ever again. I tell it like it is, if you want terrible device performance, opt for the Amazon product. If you need a reliable device, look at other manufacturers for the options you need.",battery_charging,device_hardware
7271,I don't care that you can't change the tablet to run like as you wish. It's pre installed menu is not something you can change.,usability_setup,usability
7481,This is unacceptable spend the extra money for a tablet without obtrusive software and advertising,usability_setup,usability
7508,"This is my 4th Kindle, and the worst so far. It randomly locks up and require a restart to do anything. I've probably had to do this a dozen times in the last week. It's going back if they'll take it.",software_performance,software_ecosystem
8816,"Waste of money,You tube does not work on these tablets,so everything from there old tablet does not work on the new ones,so going back to the old ones and sending these back",compatibility,software_ecosystem
8917,I bought a Kindle Fire 16GB for my 6 year old son in June. After 4 months the charging port came loose and the device will not charge. Best Buy is aware of the issue and will do nothing about it. Amazon will not warranty their product for more than 90 days and they said the charging ports often break if children are using them! They have no options to fix the device and only offer a small discount if I buy a new one. Amazon does not stand behind this product. They are aware of the defect and continue to sell these.,battery_charging,device_hardware
8923,The protector was not made for the Fire 7 as it was to large and had no directions that were coherent. Worse purchase from Best Buy ever.,out_of_scope,other_unclear
9489,"Purchased for my Father In Law - this was the most frustrating experience. Not user friendly - not friendly at all. Stick with a name brand tablet - Apple, Samsung, etc.. Avoid this device at all costs.",usability_setup,usability
10433,Very cheap and was not impressed at all never again,price_value,commercial_service
10435,This is not like other android tablets in a bad way.,other,other_unclear
10497,"I bought 2 of the Amazon Fire tablets because the sales guy said that they were great and ran really fast. I have very fast internet and this thing just barely chugs along. If you play a game, it constantly stalls and freezes. The sound quality when I play music is terrible. I was planning on buying one for each of my 9 nieces and nephews if they ran well but now I know that wouldn't work for them because they are horrible.",software_performance,software_ecosystem
10758,"Everything is locked out to Amazon, no compatibility with the Google Play Store and a lot of games the children play are on the Play Store. This product is bad because it is locked into only Amazon services.",compatibility,software_ecosystem
11659,Bought this for my daughter(3) and she can't even use it because it is NOT kid friendly. It is so incredibly slow!! It freezes often and does not seem to work without wifi like it is supposed to. Also was supposed to come with a year free of Amazon free time and we have been charged for it every month !( it requires you to put a card number in before initial use. ) Keep calling Amazon and the foreign people can't seem to figure out the problem. Don't buy!,software_performance,software_ecosystem
11879,"I baught 2 for my kids, and figured that with the cover the the one year of freetime which includes all the videos, apps and games then it makes sense. I baught this one as a gift for a kid overseas, and all the content is not playing, when I contacted amazon, they said it's not for overseas, although I asked in Best Buy before I buy it and they assured me it works everywhere. It's totally overpriced for a tablet that doesn't play anything! Best Buy should know and let customers know specially when u ask specifically!",compatibility,software_ecosystem
11883,Hard to connect to the internet. Extremely slow to load apps. Not many free apps like apple. The only thing I really like is the protection it offers.,connectivity,software_ecosystem
11885,"Cumbersome, complicated and not kid friendly..... went with Apple, suggesting you do too.",connectivity,software_ecosystem
12023,"The touch and loading the content is very bad, it doesn't respond quickly and it very slow",software_performance,software_ecosystem
12381,It would not turn on or charge. We have to return it to Kindle.,battery_charging,device_hardware
12387,"I didon't care for this tablet, downloading apps outside of Amazon was really confusing.",usability_setup,usability
13249,Am used to Kindle Fire which I love. No light to read by in the dark. Hard to navigate. This was a gift - would never purchase on my own.,screen_display,device_hardware
13253,After buying this tablet for my grandchildren I was going through the initial setup procedure.That's where I was surprised to learn that after using this tablet for a year I would be charged fees to continue with the selected programs I used for a year.Time to take it back to the store. No hidden fees.,price_value,commercial_service
13255,So slow returning mine for something different any suggestions,software_performance,software_ecosystem
13500,This is just a regular fire tablet that has protective case.,usability_setup,usability
13599,This product is not user friendly much less kid friendly. Took them back for samsungs.,usability_setup,usability
13755,"I was initially happy that my Kindle replacement charging cord arrived so promptly, it seemed to work fine. But after only one use, the outer covering of the cord started cracking falling off in bits. It now is almost completely covered by electrical tape, as the bits fall off w/ each every use. I will end up having to buy a new one after all...",hardware_failure,device_hardware
14033,I bought this on line as a gift. The unit does not stay on and I cannot get in touch with anyone to get the unit repaired,hardware_failure,device_hardware
14086,I bought this tablet for my 4 year old daughter. Too many advertisements. I would rather pay more and not have a single ad.,usability_setup,usability
15670,This is not a bad product. Amazon offers greats products but this tablet was missing features even for a basic tablet. The lack of google chrome compatibility made this tablet not right for me.,compatibility,software_ecosystem
15925,Prior to using the device I decided to recharge it to 100% and was shocked to find out that it takes 6 hours. Unless you have a lot of time don't buy this device.,battery_charging,device_hardware
15942,We bought this earlier on line from another vendor and it was never delivered. Best Buy was great.,out_of_scope,other_unclear
15952,"I have only had this Amazon Fire Hd8 since December 6, 2016 and it has already quit charging.",battery_charging,device_hardware
16123,Freeze frequently... No way to trouble shoot or repair it...,software_performance,software_ecosystem
8,"My initial impression of this was very good. The material is nicer than the shiny stuff on my Hama CD binders and the netting trim gives a nice appearance compared to plain look of most budget CD binders.There are 50 pages with 8 disc pockets each (4 per side) giving a total of 400 capacity. The pages are hung from the spine in two groups of 25. By that I mean that 25 pages all have a single attachment point to the plastic spine.This is where the first problem with this binder lies. Because each group of 25 pages shares the same anchor point in the spine, the pages cannot sit flat once full of discs. They bend and arch, and apart from looking tatty this puts a lot of tension across the plastic film. With long-term usage I suspect this plastic film will will tear due to the tension. It also makes it awkward to browse the binder as the pages don't sit flat. It may even crack or bend your discs.I look to my Hama 120 binder to see how it *should* be done - it only has 30 pages and yet they were smart enough to hang them from the spine in 3 bundles of 10. This spreads out the pages and allows easy browsing of the binder without putting any of the pockets under tension.After just 2 weeks in storage I opened the binder and the corners of all the pages have become dog-eared by themselves. This is due to the poor design and poor fit of the binder pages when filled with discs. Again, it is not a problem I have seen with my other disc binders, my two-year-old Hama binders look as good as new.Overally this binder has a lot of storage at a good price. If that's all you want you will probably be happy with the product. But sloppy design prevents it from being anything more than a mediocre binder. I feel that whoever designed this did not bother to fill it with discs to see how it would cope.",out_of_scope,other_unclear
111,"The only problem that I had is that it should have been included with the Kindle Paperwhite. There is no way to charge the Paperwhite unless you buy the charger. The charging port on the Paperwhite is so small that nothing that I already have will work. Kindle does not even provide a USB cable so that you can charge from your computer. The outlet plug is cheep plastic (hollow) and will probably break, no warranty.",price_value,commercial_service
152,"This is fun but would not buy again. Not very informative. Keeps say ""I do not understand your question. """,software_performance,software_ecosystem
516,"I should have done some research before buying the Tap. I would have rather had the upgraded version that is voice activated. Also, I thought it would be more like Siri where you can ask anything. Alexa's answer to most questions is, ""I don't understand the question."" The Bluetooth speaker works fine.",software_performance,software_ecosystem
563,"Love the Dot, Hate the Tap Portable! This device will not hold a charge for even one day. The dots are amazing though.",battery_charging,device_hardware
615,"Like DOS, you need to memorize your command and speak it out, otherwise it may not understand your command. Google Assistant is smarter. Also you cant use Spotify free account, to work around you must add a lot of free music to Amazon music into your own amazon music account before you can hear any music. Google home is more convenient this case, as you can start listening to any music channel by your free account from Spotify. If you have paid account for Spotify then not much different here. But to do searching you may be disappointed with this Tap, Google Home is just much smarter. The sound of this Tap is very good indeed, but I return it because it cant do music alarm, also it cant use Spotify for free, also its search is not smart enough, so I switched to Google Home.",software_performance,software_ecosystem
627,just okay! Product was for my girlfriend. Doesn't appear she uses it much except to steam music. Most of the questions I ask it I get nothing. I like Siri better.,software_performance,software_ecosystem
652,"While it seemed to work fine, the Tap does not have the open mic feature. While that can be best for some, I bought it as a gift and they would prefer one that listens. The Tap makes you press the mic button every time you wish to communicate with Alexa, which seems to defeat the purpose.",usability_setup,usability
1419,Tablet had trouble from the begging it kept restarting and rebooting I had to return it.,software_performance,software_ecosystem
1678,The charging plugs on these kindle damage way to easy. I am very disappointed as this is not the first time this has happened to one of my kindles.,battery_charging,device_hardware
1748,"Downloaded movies for my son to watch and the audio is terrible, you could barely hear it so I returned it",audio_quality,device_hardware
1752,"I bought this tablet as a replacement for my wife's Fire TV HDX 8.9 as her battery life is starting to decrease as it is getting older. Unfortunately, she was not happy with it as the tablet is slightly smaller screen wise (the next step is 10"" which is way too big, and has 4 less hours of battery life) and I was disappointed despite it being a newer tablet it was not able to decode HEVC, like the Fire TV 2015 boxes we have connected to our televisions. This unfortunately is a show stopper, as we can't view the movie library we have on this tablet. We will wait until a newer version comes out that is improved.",compatibility,software_ecosystem
4188,Bought it for my 5 yr old daughter and for some reason it did not work. This is the second time I've purchased this and had to return it. So I will get her a mini iPad. Never again will I waste my time and money.,hardware_failure,device_hardware
4270,"If you shop on Amazon all the time, this will help make it easier still. Lots of ads pop up, and you can't use apps from non-Amazon sources unless you root it, and that is complicated. This is not a realistic alternative to an iPad or Galaxy Note. If you just want to a device to shop on Amazon with, you'll love it.",compatibility,software_ecosystem
4334,"Not sure why, but it kept freezing and ended up having to return it. Very disappointing",software_performance,software_ecosystem
4928,"Super slow, not of decent quality.I would not buy another. Memory on it is lacking for 8 gig. I will not recommend it to anyone",software_performance,software_ecosystem
5122,I bought this tablet for my son and I don't like it. The touch screen is very poor quality. It's hard to move things around on it when he is playing a game. He prefers my iPad than to use his own. I know the iPad quality is probably the best quality but it's way under that! Very frustrating. Will be returning it.,screen_display,device_hardware
5196,Not a good product short battery life i can only use for 20 minutes,battery_charging,device_hardware
5385,"You get what you pay for... This is not great, the functionality and limitations leave much to be desired. Should have spent more and got another Samsung Galaxy Tab.",price_value,commercial_service
5391,"I received an email asking if I would like to give my review and I am glad that I did. I purchased this less than 2 months ago and it has already quit working. It will not charge and it will no longer power on. All I have is a black screen. When it did work, it dropped internet quite frequently and froze several times during use. I would not recommend this product.",hardware_failure,device_hardware
5667,Easy to carry in purse or pocket but doesn't do anything better than the cheapest Kindle reader.,price_value,commercial_service
6821,Amazon fire is a good tablet if you like e-books. It's also nice to get a six-month subscription to the Washington Post. Their claim to have 16 gigabytes of storage is misleading because it only gives you 5 and then they want to charge you the same amount of money that you paid for the tablet for unlimited storage. Another problem is that you can't flag something as being inappropriate like you can on Samsung Galaxy tablets.,price_value,commercial_service
6930,Bought it accidentally. Meant to get an 8 inch screen.,out_of_scope,other_unclear
7337,The looks and the screen of Amazon - Fire HD 8 Kids Edition are good. The navigation is sluggish when compared to apple and Samsung. The touch screen is not very responsive. Camera is not so good. Amazon should have done much better job to make it a better product to compete with Samsung and apple. Hope Amazon makes improvements. The cost is low and appreciate that. I would not recommend to someone who is looking for good product. I cost is the factor you can live with it.,software_performance,software_ecosystem
7952,"Tablet was doing good until yesterday, which is 18 day from the day I bought it, my son was using it and then it went dead.",hardware_failure,device_hardware
8602,Not really impressed by this item. It is pretty slow.,software_performance,software_ecosystem
8621,Not reaching my expectations and it's okay to kids to play games,other,other_unclear
8668,It was affordable but does not meet features that you need for videos callinh.,compatibility,software_ecosystem
8693,Tried to watch youtube and other video from different sources but it was horrible. The sound would lag w or 3 seconds behind the viewing. Returned for Samsung S2 tablet which is wonderful. You get what you pay for.,software_performance,software_ecosystem
8744,"I mainly got this to have a bigger screen to read my news on. My favorite news app refused to open! Only good was that I have amazon prime. However, I returned the fire tablet and got the iPad 2017. Much happier with that!!",compatibility,software_ecosystem
8779,I purchased the Kids kindle because of the warranty plan. Thinking it's the best deal for the money. I find it in no way user friendly for my ha me or my 3 year old granddaughter! She can take my iPad go strength to her folder.,usability_setup,usability
9018,Kindle is good as long as it is plugged into a wall outlet. The battery lasts a mere 15 minutes as a portable unit. Not happy with this. Takes an hour to charge the battery to 100% yet drains in 15 minutes. There`s something mathematically wrong with this equation.,battery_charging,device_hardware
9347,"It is too heavy for its size! I purchased it to replace a larger Nook, and find that it weighs as much. Screen is attractive but it even with a good signal in public places, hanging on to Wifi is difficult. It is not efficient when downloading (buffering, buffering...) and I am still debating returning it for another tablet.",connectivity,software_ecosystem
9528,"Just got this today and have been struggling with a few things. Set up itself was pretty easy right oit of the box. Had no idea I would not have access to Google Play Store. Beware, there is a much more limited selection of apps available for this device. Browsing is slow, even while in the same room with my modem. Much slower than my phone or my other tablet. Tumblr app, though able to be downloaded, malfunctions consistently. Will probably return this and get a more capable tablet, but will give it another couple of days to get used to it before doing so.",compatibility,software_ecosystem
9832,It's a good device for children because they don't know any better,other,other_unclear
10289,"Hi,I ordered this for my daughter who has an extensive liking of tablets. She didnt like it because of lack of google play services and she didnt have the patience to work with it. I knew that the os is only amazon specific but despite the apps that can be downloaded, she was disappointed. I returned it.If you are an avid amazon person, the tablet works great, if you want a google tablet, this isn't for you. I would recommend these for people that want a good decent tablet that they can read and use amazon apps on.",compatibility,software_ecosystem
10536,"Can't really give a full review since the Kindle Fire seemed to work properly, however, the security, Webroot Anywhere, that was included was impossible to install. I tried calling Geek Squad 4 times for support and was disconnected EVERY time. I finally went to store for instructions which they printed off but still would not download. I've ended up buying an iPad which is fantastic and would not buy again from BestBuy.",compatibility,software_ecosystem
11651,Hard time getting the free apps to load and the voice app to turn off when my seven year old accedently turned it on.,usability_setup,usability
11663,"I have to say this was not that great a purchase and we will most likely be taking advantage of it's greatest product feature, which is the ability to return it for a full refund. We wanted a smaller tablet for our kids, well this is smaller in every way, options are limited and we have realized that we are better off just letting the kids use our tablet so we can buy the newest one. This thing may go back to the store as soon as tonight.",price_value,commercial_service
11686,"I am disappointed that this is not more toddler friendly. It is a kindle inside a kid proof case. You have to set up child locks, etc. My biggest complaint is most of the games that are available you have to be connected to the internet. I wanted something to take to church, in the car, etc.",compatibility,software_ecosystem
11735,"Seemed to be fine as Chtistmas gift for granddaughter. However, today she reported that it wouldn't turn on or charge today. Supposed to have two year unconditional guarantee. Don't know where to take it.",battery_charging,device_hardware
11830,It was too slow he didn't put any attention to it. Battery didn't last.,software_performance,software_ecosystem
11850,"This is a good tablet for children and adults too. However there is an issue with the port and charger cable. We did not even have this tablet 3 weeks before it would barley charge. Took it back to best buy and they said they could not fox it, and imagine the port is not covered under the manufacturer warranty. So now I have a tablet that takes a couple days to charge. Its really frustrating.",battery_charging,device_hardware
11881,"this item is not good ok ...no use for my kids ,,,",other,other_unclear
11887,When i purchased 2 if them i assumwd it would be kid friendly. Its fill with tons of bloat wear. The opening screen has about 15 -20 apps. It worse than a normal adult tablet. my kids dont use it at all because we have to unlock it for them everytime then open the kids app. Then we have to hover over them to help them ever step of the way.,usability_setup,usability
12383,"Was looking for a tablet for my young daughter. This was on sale and had good reviews. After consulting with the sales associate with some questions, I decided to purchase item. Nice looking product, however, very little storage space.... after downloading a few apps... the storage was full and was required to buy more! Also, cannot play videos unless hooked up to wifi. Unlike the sales associate told me. Very disappointing!!! Would not recommend!",price_value,commercial_service
12420,"My 5 year old dropped this from a standing position (about a foot off the ground) and it busted. I had to use the BB warranty to replace it the day after purchase for a fall that the tablet should've been able to handle that is designed for kids. I'm happy with the apps, but definitely not thrilled with the lack of protection that is designed for kids.",hardware_failure,device_hardware
13294,Slow processor equates to slow internet browsing. User I nterface is ok. Really wish it had the capability to lock onto the movie screen while my toddler watches movies. Next time I'll just spend the additional money on an iPad mini for my kids.,software_performance,software_ecosystem
13311,"I bought this Kindle for my 7 year old grand-daughter. I bought a warranty for it. I bought it in August, I have already had to replace it. The charger connection got loose and was not charging. Well, it has happened again. I will need to exchange it again. The problem is that I have to buy the warranty each time. I was going to buy one for her brothers and sister, but I am now rethinking that.",battery_charging,device_hardware
13494,The tablet itself works fine but this is the 2nd one I have gotten with a similar problem. The port seems to come defected. The charger doesn't stay in and it takes a long time to charge. Replaced charger with a brand new one and it still has issues.,battery_charging,device_hardware
13502,Picture quality is not good. I don't like this product,screen_display,device_hardware
13673,Touch response is not so good. so my kid refused to play games on this.Returned this product. Thanks to Bestbuy for the full refund,screen_display,device_hardware
13757,"I purchased my Kindle2 in March of 09 - and it came with this adapter and cord. It is now October 09, and the small part of the adapter for this cord has stopped working. Fortunately, I was able to plug the CORD part into my laptop's USB port, and charge the Kindle that way. While plugged into a wall socket using Amazon's adapter, it does not charge at all (no light, no charge, no nothin'). I tried using the USB/Power adapter for my iPod, but the charge light blinked intermittently, and it seemed to drain the Kindle's battery. I have only had this for 9 months. I think the adapter should last longer than that. Preferably, Amazon could/should have come up with an interface that allows the use of adapters we already have - like for our phones or iPods. It's not rocket science... but it IS marketing. I came online to purchase the replacement, but I'm not sure I want to buy the same thing.... I have both the original Kindle and the Kindle2, and I love the product, but with this adapter, I have to ask.... Why",battery_charging,device_hardware
13823,"If you need a basic tablet then the fire works. It falls apart when compared to the iPad mini from a usability, functionality and available apps standpoint.",usability_setup,usability
15384,I really liked the build quality but the very lackluster performance and minuscule battery life didn't make it a keeper for me.,software_performance,software_ecosystem
15699,I'm planning on returning this tablet just as soon as I can!`,other,other_unclear
15837,I'm used to a n iPad so I wasnt impressed with the kindle. I found it hard to navigate,usability_setup,usability
16034,"Had it for about a week and now it won't take charge, tried new chargers and still not taking charge. Happy with tablet but unhappy about not chatging",battery_charging,device_hardware
16067,"I think I downloaded 6 new apps. I wait to surf the web. This thing is so slow to respond. My old refurbished iPad is better. I really only bought it to stream Hulu and Netflix. I'm not excited about lighting up the home screen to find advertisements every day, but I guess you get what you pay for. I wanted inexpensive, I got it! Don't buy this if you are used to using quick responding electronics.",software_performance,software_ecosystem
16137,Didn't have some of the features I was looking for. Returned it the next day. May be good for others,other,other_unclear
